LEXICON:	lex-australia.txt	ENG	en_AU
LEXENTRY:	EIGHTEEN	18	NUMBER	DETACH
LEXENTRY:	EIGHTEENTH	18TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTH	8TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTIETH	80TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTY	80	NUMBER	DETACH
LEXENTRY:	ELEVEN	11	NUMBER	DETACH
LEXENTRY:	ELEVENTH	11TH	WORD,ORD	DETACH
LEXENTRY:	ESP	ESP	TYPE	DET_SUF
LEXENTRY:	ESPLANADE	ESP	TYPE	DET_SUF
LEXENTRY:	F	F	UNITH	DETACH
LEXENTRY:	FACTORY	FY	UNITH	DETACH
LEXENTRY:	FIFTEEN	15	NUMBER	DETACH
LEXENTRY:	FIFTEENTH	15TH	WORD,ORD	DETACH
LEXENTRY:	FIFTH	5TH	WORD,ORD	DETACH
LEXENTRY:	FIFTIETH	50TH	WORD,ORD	DETACH
LEXENTRY:	FIFTY	50	NUMBER	DETACH
LEXENTRY:	FIRST	1ST	WORD,ORD	DETACH
LEXENTRY:	FIVE	5	NUMBER	DETACH
LEXENTRY:	FL	FL	UNITH	DETACH
LEXENTRY:	FLAT	F	UNITH	DETACH
LEXENTRY:	FLOOR	FL	UNITH	DETACH
LEXENTRY:	FORTIETH	40TH	WORD,ORD	DETACH
LEXENTRY:	FORTY	40	NUMBER	DETACH
LEXENTRY:	FOUR	4	NUMBER	DETACH
LEXENTRY:	FOURTEEN	14	NUMBER	DETACH
LEXENTRY:	FOURTEENTH	14TH	WORD,ORD	DETACH
LEXENTRY:	FOUTH	4TH	WORD,ORD	DETACH
LEXENTRY:	FUND	FUND	PLACEN	DETACH
LEXENTRY:	FY	FY	UNITH	DETACH
LEXENTRY:	GALLERY	GALLERY	PLACEN	DETACH
LEXENTRY:	GARDEN	GARDEN	PLACEN	DETACH
LEXENTRY:	GENERAL POST OFFICE BOX 	GPO BOX	BOXH	DETACH
LEXENTRY:	GPO BOX	GPO BOX	BOXH	DETACH
LEXENTRY:	GR	GR	TYPE	DET_SUF
LEXENTRY:	GROUP	GROUP	PLACEN	DETACH
LEXENTRY:	GROVE	GR	TYPE	DET_SUF
LEXENTRY:	GYMNASIUM	GYMNASIUM	PLACEN	DETACH
LEXENTRY:	HALL	HALL	PLACEN	DETACH
LEXENTRY:	HIGHWAY	HWY	TYPE	DET_SUF
LEXENTRY:	HOSPITAL	HOSPITAL	PLACEN	DETACH
LEXENTRY:	HOTEL	HOTEL	PLACEN	DETACH
LEXENTRY:	HOUSE	HOUSE	PLACEN	DETACH
LEXENTRY:	HWY	HWY	TYPE	DET_SUF
LEXENTRY:	INC	INC	PLACEN	DETACH
LEXENTRY:	INCORPORATED	INCORPORATED	PLACEN	DETACH
LEXENTRY:	INSTITUTE	INSTITUTE	PLACEN	DETACH
LEXENTRY:	L	L	UNITH	DETACH
LEXENTRY:	LAB	LAB	PLACEN	DETACH
LEXENTRY:	LABORATORIES	LABORATORIES	PLACEN	DETACH
LEXENTRY:	LABORATORY	LABORATORY	PLACEN	DETACH
LEXENTRY:	LABS	LABS	PLACEN	DETACH
LEXENTRY:	LANE	LANE	TYPE	DET_SUF
LEXENTRY:	LEVEL	L	UNITH	DETACH
LEXENTRY:	LIABILITY	LIABILITY	PLACEN	DETACH
LEXENTRY:	LIBRARY	LIBRARY	PLACEN	DETACH
LEXENTRY:	LIMITED	LIMITED	PLACEN	DETACH
LEXENTRY:	LOCKED BAG	LOCKED BAG	BOXH	DETACH
LEXENTRY:	LTD	LTD	PLACEN	DETACH
LEXENTRY:	M	M	UNITH	DETACH
LEXENTRY:	MAIL SERVICE	MS	BOXH	DETACH
LEXENTRY:	MALL	MALL	PLACEN	DETACH
LEXENTRY:	MARINE BERTH	MB	UNITH	DETACH
LEXENTRY:	MARKET	MARKET	PLACEN	DETACH
LEXENTRY:	MB	MB	UNITH	DETACH
LEXENTRY:	MEZZANINE	M	UNITH	DETACH
LEXENTRY:	MS	MS	BOXH	DETACH
LEXENTRY:	MUSEUM	MUSEUM	PLACEN	DETACH
LEXENTRY:	N	N	DIRECT	DETACH
LEXENTRY:	NE	NE	DIRECT	DETACH
LEXENTRY:	NINE	9	NUMBER	DETACH
LEXENTRY:	NINETEEN	19	NUMBER	DETACH
LEXENTRY:	NINETEENTH	19TH	WORD,ORD	DETACH
LEXENTRY:	NINETIETH	90TH	WORD,ORD	DETACH
LEXENTRY:	NINETY	90	NUMBER	DETACH
LEXENTRY:	NINTH	9TH	WORD,ORD	DETACH
LEXENTRY:	NL	NL	PLACEN	DETACH
LEXENTRY:	NORTH	N	DIRECT	DETACH
LEXENTRY:	NORTHEAST	NE	DIRECT	DETACH
LEXENTRY:	NORTHWEST	NW	DIRECT	DETACH
LEXENTRY:	NSW	NEW SOUTH WALES	PROV	DETACH
LEXENTRY:	NT	NORTHERN TERRITORY	PROV	DETACH
LEXENTRY:	NW	NW	DIRECT	DETACH
LEXENTRY:	OFF	OFF	UNITH	DETACH
LEXENTRY:	OFFICE	OFF	UNITH	DETACH
LEXENTRY:	ONE	1	NUMBER	DETACH
LEXENTRY:	P/L	P/L	PLACEN	DETACH
LEXENTRY:	PARADE	PDE	TYPE	DET_SUF
LEXENTRY:	PARK	PARK	PLACEN	DETACH
LEXENTRY:	PDE	PDE	TYPE	DET_SUF
LEXENTRY:	PL	PL	PLACEN,TYPE	DETACH,DET_SUF
LEXENTRY:	PLACE	PL	TYPE	DET_SUF
LEXENTRY:	PLC	PLC	PLACEN	DETACH
LEXENTRY:	PO BOX	PO BOX	BOXH	DETACH
LEXENTRY:	POST OFFICE BOX	PO BOX	BOXH	DETACH
LEXENTRY:	PRIVATE BAG	PRIVATE BAG	BOXH	DETACH
LEXENTRY:	PROPRIETARY	PROPRIETARY	PLACEN	DETACH
LEXENTRY:	PTY	PTY	PLACEN	DETACH
LEXENTRY:	QLD	QUEENSLAND	PROV	DETACH
LEXENTRY:	RD	RD	TYPE	DET_SUF
LEXENTRY:	RESTAURANT	RESTAURANT	PLACEN	DETACH
LEXENTRY:	RM	RM	UNITH	DETACH
LEXENTRY:	RMB	RMB	BOXH	DETACH
LEXENTRY:	RMS	RMS	BOXH	DETACH
LEXENTRY:	ROAD	RD	TYPE	DET_SUF
LEXENTRY:	ROADSIDE DELIVERY	RSD	BOXH	DETACH
LEXENTRY:	ROADSIDE MAIL BAG	RMB	BOXH	DETACH
LEXENTRY:	ROADSIDE MAIL BOX	RMB	BOXH	DETACH
LEXENTRY:	ROADSIDE MAIL SERVICE	RMS	BOXH	DETACH
LEXENTRY:	ROOM	RM	UNITH	DETACH
LEXENTRY:	RSD	RSD	BOXH	DETACH
LEXENTRY:	S	S	DIRECT	DETACH
LEXENTRY:	SA	SOUTH AUSTRALIA	PROV	DETACH
LEXENTRY:	SAINT	ST	WORD	DETACH
LEXENTRY:	SCHOOL	SCHOOL	PLACEN	DETACH
LEXENTRY:	SE	SE	DIRECT,UNITH	DETACH
LEXENTRY:	SECOND	2ND	WORD,ORD	DETACH
LEXENTRY:	SEVEN	7	NUMBER	DETACH
LEXENTRY:	SEVENTEEN	17	NUMBER	DETACH
LEXENTRY:	SEVENTEENTH	17TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTH	7TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTIETH	70TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTY	70	NUMBER	DETACH
LEXENTRY:	SHED	SHED	UNITH	DETACH
LEXENTRY:	SHED 	SHED	UNITH	DETACH
LEXENTRY:	SHOP	SHOP	PLACEN,UNITH	DETACH
LEXENTRY:	SITE	SITE	UNITH	DETACH
LEXENTRY:	SITE	SE	UNITH	DETACH
LEXENTRY:	SIX	6	NUMBER	DETACH
LEXENTRY:	SIXTEEN	16	NUMBER	DETACH
LEXENTRY:	SIXTEENTH	16TH	WORD,ORD	DETACH
LEXENTRY:	SIXTH	6TH	WORD,ORD	DETACH
LEXENTRY:	SIXTIETH	60TH	WORD,ORD	DETACH
LEXENTRY:	SIXTY	60	NUMBER	DETACH
LEXENTRY:	SL	SL	UNITH	DETACH
LEXENTRY:	SOUTH	S	DIRECT	DETACH
LEXENTRY:	SOUTHEAST	SE	DIRECT	DETACH
LEXENTRY:	SOUTHWEST	SW	DIRECT	DETACH
LEXENTRY:	SQ	SQ	TYPE	DET_SUF
LEXENTRY:	SQUARE	SQ	TYPE	DET_SUF
LEXENTRY:	ST	ST	TYPE,WORD	DETACH,DET_SUF
LEXENTRY:	STADIUM	STADIUM	PLACEN	DETACH
LEXENTRY:	STALL	SL	UNITH	DETACH
LEXENTRY:	STATION	STATION	PLACEN	DETACH
LEXENTRY:	STE	STE	UNITH	DETACH
LEXENTRY:	STORE	STORE	PLACEN	DETACH
LEXENTRY:	STREET	ST	TYPE	DET_SUF
LEXENTRY:	SUITE	STE	UNITH	DETACH
LEXENTRY:	SW	SW	DIRECT	DETACH
LEXENTRY:	TAS	TASMANIA	PROV	DETACH
LEXENTRY:	TCE	TCE	TYPE	DET_SUF
LEXENTRY:	TEN	10	NUMBER	DETACH
LEXENTRY:	TENTH	10TH	WORD,ORD	DETACH
LEXENTRY:	TERRACE	TCE	TYPE	DET_SUF
LEXENTRY:	THEATER	THEATER	PLACEN	DETACH
LEXENTRY:	THEATRE	THEATRE	PLACEN	DETACH
LEXENTRY:	THIRD	3RD	WORD,ORD	DETACH
LEXENTRY:	THIRTEEN	13	NUMBER	DETACH
LEXENTRY:	THIRTEENTH	13TH	WORD,ORD	DETACH
LEXENTRY:	THIRTIETH	30TH	WORD,ORD	DETACH
LEXENTRY:	THIRTY	30	NUMBER	DETACH
LEXENTRY:	THREE	3	NUMBER	DETACH
LEXENTRY:	TRUST	TRUST	PLACEN	DETACH
LEXENTRY:	TWELFTH	12TH	WORD,ORD	DETACH
LEXENTRY:	TWELVE	12	NUMBER	DETACH
LEXENTRY:	TWENTIETH	20TH	WORD,ORD	DETACH
LEXENTRY:	TWENTY	20	NUMBER	DETACH
LEXENTRY:	TWO	2	NUMBER	DETACH
LEXENTRY:	U	U	UNITH	DETACH
LEXENTRY:	UNIT	U	UNITH	DETACH
LEXENTRY:	UNIVERSITY	UNIVERSITY	PLACEN	DETACH
LEXENTRY:	VIC	VICTORIA	PROV	DETACH
LEXENTRY:	VILLA	VLLA	UNITH	DETACH
LEXENTRY:	VLLA	VLLA	UNITH	DETACH
LEXENTRY:	W	W	DIRECT	DETACH
LEXENTRY:	WA	WESTERN AUSTRALIA	PROV	DETACH
LEXENTRY:	WAREHOUSE	WE	UNITH	DETACH
LEXENTRY:	WE	WE	UNITH	DETACH
LEXENTRY:	WEST	W	DIRECT	DETACH
